Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
315,"Luke McCaffrey","WAS","WR",108,12,169.9,43.08,"N/A"
316,"Dameon Pierce","HOU","RB",88,6,170,49.91,"N/A"
317,"Chris Brooks","GB","RB",89,5,170.1,27.62,"N/A"
318,"Savion Williams","GB","WR",109,5,170,47.65,"N/A"
319,"Jalen Tolbert","DAL","WR",110,10,170.1,92.22,1
320,"Craig Reynolds","DET","RB",90,8,170,24.91,"N/A"
321,"LeQuint Allen","JAX","RB",91,8,170,10.73,"N/A"
322,"Jalen McMillan","TB","WR",111,9,169.6,63.27,2
323,"Jahan Dotson","PHI","WR",112,9,169.8,60.73,"N/A"
324,"Zay Jones","ARI","WR",113,8,170,59.7,"N/A"
325,"KhaDarel Hodge","ATL","WR",114,5,170,51.29,"N/A"
326,"Kayshon Boutte","NE","WR",115,14,170,28.89,"N/A"
327,"Jamari Thrash","CLE","WR",116,9,170,47.7,"N/A"
328,"Arian Smith","NYJ","WR",117,9,170,41.85,"N/A"
329,"Tai Felton","MIN","WR",118,6,170,29.32,"N/A"
330,"Elijah Moore","BUF","WR",119,7,170,64.01,1
331,"Mack Hollins","NE","WR",120,14,170,29.88,"N/A"
332,"Curtis Samuel","BUF","WR",121,7,170,53.3,"N/A"
333,"JuJu Smith-Schuster","KC","WR",122,10,169.9,39.64,"N/A"
334,"Marquez Valdes-Scantling","SEA","WR",123,8,170,44.82,"N/A"
335,"Diontae Johnson","CLE","WR",124,9,170,100.09,1
336,"Brandin Cooks","NO","WR",125,11,170,72.63,"N/A"
337,"Chimere Dike","TEN","WR",126,10,170,82.39,"N/A"
338,"Nick Westbrook-Ikhine","MIA","WR",127,12,170,75.69,1
339,"KeAndre Lambert-Smith","LAC","WR",128,12,170,15.7,"N/A"
340,"Pierre Strong Jr.","CLE","RB",92,9,170.1,19.24,"N/A"
341,"Jaylin Lane","WAS","WR",129,12,170,37.51,"N/A"
342,"Sincere McCormick","LV","RB",93,8,170,33.7,"N/A"
343,"Jalin Hyatt","NYG","WR",130,14,169.9,66.81,"N/A"
344,"Jermaine Burton","CIN","WR",131,10,170,53.13,"N/A"
345,"Tyrod Taylor","NYJ","QB",41,9,170,23.41,"N/A"
